,Names,Average Rank,Draft Position,Owner
0,Giannis Antetokounmpo,2.666666667,1,Aditya
1,Anthony Davis,2.0,2,Will
2,James Harden,4.0,3,Sai
3,LeBron James,7.666666667,4,Arbaz
4,Stephen Curry,5.666666667,5,Taeho
5,Karl-Anthony Towns,2.666666667,6,Shum
6,Nikola Jokic,5.0,7,Anand
7,Ben Simmons,15.33333333,8,Dan
8,Bradley Beal,11.33333333,9,Joel
9,Joel Embiid,12.0,10,Mike
10,Damian Lillard,11.66666667,11,Utkarsh
11,Andre Drummond,12.33333333,12,Salman
12,Pascal Siakam,32.33333333,13,Salman
13,Russell Westbrook,11.66666667,14,Utkarsh
14,Rudy Gobert,16.33333333,15,Mike
15,Luka Doncic,15.33333333,16,Joel
16,Deandre Ayton,21.33333333,17,Dan
17,Kyrie Irving,20.66666667,18,Anand
18,Paul George,24.33333333,19,Shum
19,LaMarcus Aldridge,33.0,20,Taeho
20,Jimmy Butler,22.66666667,21,Arbaz
21,Kemba Walker,28.66666667,22,Sai
22,Kawhi Leonard,23.33333333,23,Will
23,Nikola Vucevic,20.66666667,24,Aditya
24,Jrue Holiday,21.33333333,25,Aditya
25,Zion Williamson,30.0,26,Will
26,Donovan Mitchell,31.0,27,Sai
27,Trae Young,23.33333333,28,Arbaz
28,Devin Booker,29.66666667,29,Taeho
29,De'Aaron Fox,26.0,30,Shum
30,John Collins,23.33333333,31,Anand
31,DeMar DeRozan,33.0,32,Dan
32,Terry Rozier,54.0,33,Joel
33,Julius Randle,38.0,34,Mike
34,Kristaps Porzingis,45.33333333,35,Utkarsh
35,D'Angelo Russell,41.33333333,36,Salman
36,Jamal Murray,62.33333333,37,Salman
37,Jayson Tatum,46.66666667,38,Utkarsh
38,Steven Adams,58.66666667,39,Mike
39,Draymond Green,37.33333333,40,Joel
40,Clint Capela,35.33333333,41,Dan
41,Bam Adebayo,49.33333333,42,Anand
42,Blake Griffin,43.66666667,43,Shum
43,Tobias Harris,50.33333333,44,Taeho
44,Jonas Valanciunas,43.66666667,45,Arbaz
45,Domantas Sabonis,62.0,46,Sai
46,Khris Middleton,51.33333333,47,Will
47,Montrezl Harrell,61.0,48,Aditya
48,DeAndre Jordan,93.0,49,Aditya
49,C.J. McCollum,49.0,50,Will
50,Marvin Bagley III,55.0,51,Sai
51,Chris Paul,50.66666667,52,Arbaz
52,Hassan Whiteside,56.33333333,53,Taeho
53,Buddy Hield,44.33333333,54,Shum
54,Zach LaVine,55.0,55,Anand
55,Mitchell Robinson,37.66666667,56,Dan
56,Ricky Rubio,69.66666667,57,Joel
57,Lauri Markkanen,48.0,58,Mike
58,Kevin Love,52.33333333,59,Utkarsh
59,Kyle Kuzma,96.66666667,60,Salman
60,Jaren Jackson Jr.,50.33333333,61,Salman
61,Thomas Bryant,51.33333333,62,Utkarsh
62,Mike Conley,59.0,63,Mike
63,Otto Porter Jr.,39.33333333,64,Joel
64,Derrick Favors,48.0,65,Dan
65,Danilo Gallinari,63.33333333,66,Anand
66,Myles Turner,47.0,67,Shum
67,Kyle Lowry,60.0,68,Taeho
68,Lonzo Ball,74.0,69,Arbaz
69,Aaron Gordon,71.0,70,Sai
70,Eric Bledsoe,56.0,71,Will
71,Malcolm Brogdon,71.0,72,Aditya
72,Serge Ibaka,91.66666667,73,Aditya
73,Ja Morant,75.66666667,74,Will
74,Shai Gilgeous-Alexander,75.66666667,75,Sai
75,Al Horford,69.33333333,76,Arbaz
76,Enes Kanter,82.66666667,77,Taeho
77,Gordon Hayward,85.0,78,Shum
78,Caris LeVert,91.0,79,Anand
79,RJ Barrett,104.33333329999999,80,Dan
80,Lou Williams,81.33333333,81,Joel
81,Robert Covington,70.33333333,82,Mike
82,Wendell Carter Jr.,85.66666667,83,Utkarsh
83,Jarrett Allen,82.0,84,Salman
84,Bojan Bogdanovic,108.66666670000001,85,Salman
85,Andrew Wiggins,92.0,86,Utkarsh
86,Brandon Ingram,117.0,87,Mike
87,Jeff Teague,86.66666667,88,Joel
88,Larry Nance Jr.,79.66666667,89,Dan
89,Miles Bridges,81.66666667,90,Anand
90,Kelly Oubre Jr.,88.66666667,91,Shum
91,Jeremy Lamb,90.0,92,Taeho
92,Willie Cauley-Stein,107.0,93,Arbaz
93,Jaylen Brown,122.33333329999999,94,Sai
94,Marc Gasol,78.33333333,95,Will
95,Jordan Clarkson,148.66666669999998,96,Aditya
96,Paul Millsap,114.33333329999999,97,Aditya
97,Joe Ingles,93.0,98,Will
98,Collin Sexton,120.33333329999999,99,Sai
99,Dwight Howard,150.0,100,Arbaz
100,Reggie Jackson,154.33333330000002,101,Taeho
101,Jonathan Isaac,74.66666667,102,Shum
102,Derrick White,98.33333333,103,Anand
103,Delon Wright,106.33333329999999,104,Dan
104,Josh Richardson,94.0,105,Joel
105,Dejounte Murray,106.33333329999999,106,Mike
106,Justise Winslow,128.3333333,107,Utkarsh
107,Dwight Powell,101.33333329999999,108,Salman
108,Dario Saric,107.0,109,Salman
109,Brook Lopez,83.66666667,110,Utkarsh
110,Gary Harris,115.66666670000001,111,Mike
111,Mason Plumlee,149.66666669999998,112,Joel
112,Alex Len,121.66666670000001,113,Dan
113,Fred VanVleet,126.66666670000001,114,Anand
114,Dennis Smith Jr.,152.0,115,Shum
115,De'Andre Hunter,157.66666669999998,116,Taeho
116,Rudy Gay,122.33333329999999,117,Arbaz
117,Zach Collins,118.0,118,Sai
118,Dennis Schroder,147.0,119,Will
119,Cam Reddish,150.0,120,Aditya
120,Harrison Barnes,127.66666670000001,121,Aditya
121,JaVale McGee,107.0,122,Will
122,Rui Hachimura,142.33333330000002,123,Sai
123,Spencer Dinwiddie,127.66666670000001,124,Arbaz
124,Joe Harris,131.6666667,125,Taeho
125,Will Barton,166.33333330000002,126,Shum
126,Kevon Looney,118.33333329999999,127,Anand
127,Victor Oladipo,118.66666670000001,128,Dan
128,Dewayne Dedmon,103.0,129,Joel
129,Tomas Satoransky,124.66666670000001,130,Mike
130,Evan Fournier,129.0,131,Utkarsh
131,Goran Dragic,135.0,132,Salman
132,Tristan Thompson,140.66666669999998,133,Salman
133,Coby White,158.66666669999998,134,Utkarsh
134,T.J. Warren,109.0,135,Mike
135,Terrence Ross,116.0,136,Joel
136,Thaddeus Young,118.0,137,Dan
137,Marcus Smart,116.33333329999999,138,Anand
138,Cedi Osman,141.33333330000002,139,Shum
139,James Johnson,176.33333330000002,140,Taeho
140,Nemanja Bjelica,176.0,141,Arbaz
141,Harry Giles,212.0,142,Sai
142,Tyler Herro,160.66666669999998,143,Will
143,Tim Hardaway Jr.,173.33333330000002,144,Aditya
144,Bogdan Bogdanovic,122.0,145,Aditya
145,Derrick Rose,159.0,146,Will
146,Dwayne Bacon,217.0,147,Sai
147,Kevin Huerter,120.0,148,Arbaz
148,Jerami Grant,155.33333330000002,149,Taeho
149,Jarrett Culver,136.33333330000002,150,Shum
150,Ish Smith,184.0,151,Anand
151,Nicolas Batum,122.33333329999999,152,Dan
152,Jeff Green,177.33333330000002,153,Joel
153,Jusuf Nurkic,171.0,154,Mike
154,Eric Gordon,149.66666669999998,155,Utkarsh
155,Darius Garland,175.0,156,Salman
